Country Visited,2017,2018,2019,2020,2021,Average Annual Growth (2015-2019) (%),Average,lat_lon,distance_km_from_uk
Austria,700.3630238438604,695.2223995042323,730.0393116899186,,87.97829688754169,-40.46627111795408,553.4007579813882,"(47.59397, 14.12456)",1445.8115370257829
Belgium,2062.5316286406237,2086.6042615601236,2099.7331389953606,,199.20867692690393,-44.25230587721184,1612.0194265307528,"(50.6402809, 4.6667145)",701.4380899887882
Bulgaria,596.4988851451806,690.9752439756758,718.2059932271994,,215.02006212980712,-22.515053649456675,555.1750461194657,"(42.6073975, 25.4856617)",2482.8875924158037
Czech Republic,687.0847720888731,625.3905774208863,777.1591222893805,,100.14262504516533,-38.2122811093187,547.4442742110763,"(49.7439047, 15.3381061)",1381.1487749761552
Cyprus,1018.8812600245291,877.8201868068553,1047.3367117417142,,247.85054394518875,-29.770985285990427,797.9721756295718,"(34.9823018, 33.1451285)",3553.50041157142
Denmark,566.6835709556759,561.8644484715555,518.6571139661122,,107.96254331616456,-33.933222922083104,438.79191917737705,"(55.670249, 10.3333283)",872.1456573416905
Finland,207.48190320232004,316.2162796917478,221.7459264032499,,129.1157069330294,-11.182260941592915,218.63995405758678,"(63.2467777, 25.9209164)",1906.088270423663
France,10642.011140832275,10851.768343888218,10346.708100841097,,1593.2610096249366,-37.79635921423794,8358.437148796631,"(46.603354, 1.8883335)",971.5166387817472
Germany,3578.8807481673866,3625.1676114853617,3374.99471455928,,520.2072492292278,-38.25421830766774,2774.812580860314,"(51.1638175, 10.4478313)",1001.2073222743222
Greece,2707.7374352664838,2908.252631250184,3438.200014914412,,1147.9893356076857,-19.30756406552622,2550.5448542596914,"(38.9953683, 21.9877132)",2574.222082744694
Hungary,772.4428265949732,733.5885495490445,918.7099834437727,,169.08884601881525,-31.599046785388328,648.4575514016515,"(47.1817585, 19.5060937)",1795.326976274088
Republic of Ireland,4576.082491281145,4695.284855437116,4786.163991742292,,1050.7636649294986,-30.776620077663953,3777.073750847512,"(52.865196, -7.9794599)",371.23591828670675
Italy,4900.832909429453,5293.69073516127,5105.0935613552765,,855.5183121742841,-35.36171076764701,4038.7838795300713,"(42.6384261, 12.674297)",1774.8174667043988
Lithuania,441.2093758222681,437.34158770153476,509.47724085781147,,168.02087180779213,-21.443952283223055,389.01226904735165,"(55.3500003, 23.7499997)",1719.0451063631874
Luxembourg,103.54036423862401,71.64419970729821,86.8931263537136,,9.587555941382595,-44.83678677530597,67.91631156025461,"(49.8158683, 6.1296751)",840.27604523825
Malta,594.5358938692575,795.1817214654499,844.103009070185,,236.34784740323101,-20.59581492221586,617.5421179520308,"(35.8885993, 14.4476911)",2495.181634455489
Netherlands,3117.7726874713185,3362.917813318272,3573.046295549733,,348.1174059889543,-42.19434552513729,2600.4635505820693,"(52.2434979, 5.6343227)",651.2977509204682
Norway,397.325493514103,445.1925614265607,525.870464164148,,78.92949780300093,-33.23893947155268,361.82950422695313,"(61.1529386, 8.7876653)",1010.5032261313655
Poland,3056.9342516229985,2943.647582621972,3231.163852025786,,941.87666988199,-25.496446813828676,2543.405589038187,"(52.215933, 19.134422)",1507.3140204466076
Portugal,3269.825647554911,3320.447485550082,3311.319824461352,,1164.442907553301,-22.75001549151319,2766.5089662799114,"(39.6621648, -8.1353519)",1711.112960511407
Romania,1156.1517889822248,1226.3311597200964,1292.5286369108283,,647.1528873939823,-13.50360457827071,1080.541118251783,"(45.9852129, 24.6859225)",2194.1696885326296
Russia,233.04324508299985,164.32285556576696,209.06769695466147,,43.59767722155859,-34.23320043269259,162.5078687062467,"(64.6863136, 97.7453061)",5169.305424159668
Slovakia,213.86679340679126,223.2173621792534,233.8330271677709,,63.6878668508154,-26.12825870791212,183.65126240115774,"(48.7411522, 19.4528646)",1695.2864733811057
Spain,17650.94223721591,17926.53544538636,18129.274223453747,,4225.233093243901,-30.0527419461581,14482.996249824979,"(39.3260685, -4.8379791)",1713.3996025649158
Sweden,474.05322482233635,532.2177430052415,514.551567284424,,114.77796258033213,-29.853202001102773,408.90012442308347,"(59.6749712, 14.5208584)",1205.0411191897258
Switzerland,1189.5647989175443,1319.4883978532384,1348.672907076456,,180.1553133724339,-37.61721738244085,1009.4703543049181,"(46.7985624, 8.2319736)",1194.0034567669716
Turkey,1453.942973289938,1745.0654069305876,2291.4089960427436,,350.8713051008932,-29.91095866259006,1460.3221703410406,"(38.9597594, 34.9249653)",3339.505220548459
Rest of Europe,1958.7613203045707,2036.4684153197352,2286.9455922665434,,816.2608782709794,-19.654443034361968,1774.6090515404571,,
